Date,LOC,RING,Sold_bandwidth,Utilized_bandwidth
15-06-2021,chennai to kadappa,EIR,114.2,9.7
15-06-2021,chennai to chennai vsb,EIR,119.1,1.9
15-06-2021,chennai to hyderabad,EIR,106.9,0.4
15-06-2021,hyderabad to kadappa 1,GCIR,116.8,4.5
15-06-2021,kadappa to mumbai,GCIR,72.7,5.4
15-06-2021,hyderabad to mumbai 2,GCIR,80.1,4.3
15-06-2021,hyderabad to kadappa 2,NKCIR,10.9,0.6
15-06-2021,kadappa to pune,NKCIR,15.7,1.2
15-06-2021,delhi to noida,NNCIR,8.9,1.3
15-06-2021,gurgaon to delhi,NNCIR,7.3,0.4
15-06-2021,gurgaon to noida,NNCIR,7.3,0.8
15-06-2021,hyderabad to delhi,NNIR,1.3,0.6
15-06-2021,mumbai to delhi,NNIR,11.2,1.2
15-06-2021,delhi to delhi vsb,NNIR,8.1,0.8
15-06-2021,mumbai to pune,NWIR,37.6,3.6
15-06-2021,hyderabad to pune,NWIR,37.8,2.1
15-06-2021,hyderabad to mumbai 2 1,NWIR,36.5,1.5
15-06-2021,ahmadabad to mumbai,NR,3.02,2.6
15-06-2021,mumbai - mumbai vsb ,NR,167.8,6.7
15-06-2021,hyderabad to kolu,NR,1.5,0.7
15-06-2021,ernakullam to kadappa,NR,7.9,2.6
22-06-2021,chennai to kadappa,EIR,115.4,9.3
22-06-2021,chennai to chennai vsb,EIR,113.8,1.3
22-06-2021,chennai to hyderabad,EIR,101.6,0.4
22-06-2021,hyderabad to kadappa 1,GCIR,112.6,4.5
22-06-2021,kadappa to mumbai,GCIR,72.6,6.5
22-06-2021,hyderabad to mumbai 2 1,GCIR,80.3,4.3
22-06-2021,hyderabad to kadappa 2,NKCIR,10.9,0.6
22-06-2021,kadappa to pune,NKCIR,15.7,1.2
22-06-2021,delhi to noida,NNCIR,8.1,1.3
22-06-2021,gurgaon to delhi,NNCIR,7.3,0.4
22-06-2021,gurgaon to noida,NNCIR,7.3,0.8
22-06-2021,hyderabad to delhi,NNIR,1.3,0.6
22-06-2021,mumbai to delhi,NNIR,11.2,1.2
22-06-2021,delhi to delhi vsb,NNIR,8.1,0.8
22-06-2021,mumbai to pune,NWIR,37.6,3.6
22-06-2021,hyderabad to pune,NWIR,36.6,2.1
22-06-2021,hyderabad to mumbai 2,NWIR,36.5,1.5
22-06-2021,ahmadabad to mumbai,NR,2.1,2.6
22-06-2021,mumbai - mumbai vsb ,NR,169,7.1
22-06-2021,hyderabad to kolu,NR,1.5,0.7
22-06-2021,ernakullam to kadappa,NR,9.7,2.6
29-06-2021,chennai to kadappa,EIR,110.4,11.6
29-06-2021,chennai to chennai vsb,EIR,108.8,1.3
29-06-2021,chennai to hyderabad,EIR,96.6,0.4
29-06-2021,hyderabad to kadappa 1,GCIR,107.6,1.6
29-06-2021,kadappa to mumbai,GCIR,72.6,6.8
29-06-2021,hyderabad to mumbai 2 1,GCIR,80.3,4.3
29-06-2021,hyderabad to kadappa 2,NKCIR,10.9,0.6
29-06-2021,kadappa to pune,NKCIR,15.7,1.2
29-06-2021,delhi to noida,NNCIR,8.1,1.3
29-06-2021,gurgaon to delhi,NNCIR,7.3,0.4
29-06-2021,gurgaon to noida,NNCIR,7.3,0.8
29-06-2021,hyderabad to delhi,NNIR,1.3,0.6
29-06-2021,mumbai to delhi,NNIR,11.2,1.2
29-06-2021,delhi to delhi vsb,NNIR,8.1,0.8
29-06-2021,mumbai to pune,NWIR,37.6,3.6
29-06-2021,hyderabad to pune,NWIR,36.6,1.7
29-06-2021,hyderabad to mumbai 2,NWIR,36.5,1.5
29-06-2021,ahmadabad to mumbai,NR,3.1,2.6
29-06-2021,mumbai - mumbai vsb ,NR,170,7.1
29-06-2021,hyderabad to kolu,NR,1.5,0.7
29-06-2021,ernakullam to kadappa,NR,9.7,2.6
06-07-2021,chennai to kadappa,EIR,106.2,9.7
06-07-2021,chennai to chennai vsb,EIR,107.1,1.9
06-07-2021,chennai to hyderabad,EIR,95.9,0.4
06-07-2021,hyderabad to kadappa 1,GCIR,107.8,4.5
06-07-2021,kadappa to mumbai,GCIR,73.7,5.4
06-07-2021,hyderabad to mumbai 2 1,GCIR,76.1,4.3
06-07-2021,hyderabad to kadappa 2,NKCIR,10.9,0.6
06-07-2021,kadappa to pune,NKCIR,15.7,1.2
06-07-2021,delhi to noida,NNCIR,8.9,1.3
06-07-2021,gurgaon to delhi,NNCIR,7.3,0.4
06-07-2021,gurgaon to noida,NNCIR,7.3,0.8
06-07-2021,hyderabad to delhi,NNIR,1.3,0.6
06-07-2021,mumbai to delhi,NNIR,11.2,1.2
06-07-2021,delhi to delhi vsb,NNIR,8.1,0.8
06-07-2021,mumbai to pune,NWIR,38.6,3.6
06-07-2021,hyderabad to pune,NWIR,37.8,2.1
06-07-2021,hyderabad to mumbai 2,NWIR,36.5,1.5
06-07-2021,ahmadabad to mumbai,NR,3.02,2.6
06-07-2021,mumbai - mumbai vsb ,NR,167.8,6.7
06-07-2021,hyderabad to kolu,NR,1.5,0.7
06-07-2021,ernakullam to kadappa,NR,9.7,2.6
13-07-2021,chennai to kadappa,EIR,106.2,9.7
13-07-2021,chennai to chennai vsb,EIR,107.1,1.9
13-07-2021,chennai to hyderabad,EIR,95.9,0.4
13-07-2021,hyderabad to kadappa 1,GCIR,107.8,6.6
13-07-2021,kadappa to mumbai,GCIR,73.7,5.4
13-07-2021,hyderabad to mumbai 2 1,GCIR,76.1,4.3
13-07-2021,hyderabad to kadappa 2,NKCIR,10.9,0.6
13-07-2021,kadappa to pune,NKCIR,15.7,1.2
13-07-2021,delhi to noida,NNCIR,8.9,1.3
13-07-2021,gurgaon to delhi,NNCIR,7.3,0.4
13-07-2021,gurgaon to noida,NNCIR,7.3,0.8
13-07-2021,hyderabad to delhi,NNIR,1.3,0.6
13-07-2021,mumbai to delhi,NNIR,11.2,1.2
13-07-2021,delhi to delhi vsb,NNIR,8.1,0.8
13-07-2021,mumbai to pune,NWIR,38.6,3.6
13-07-2021,hyderabad to pune,NWIR,37.8,2.1
13-07-2021,hyderabad to mumbai 2,NWIR,36.5,1.5
13-07-2021,ahmadabad to mumbai,NR,3.02,2.6
13-07-2021,mumbai - mumbai vsb ,NR,179,6.2
13-07-2021,hyderabad to kolu,NR,1.5,0.7
13-07-2021,ernakullam to kadappa,NR,9.7,2.6
20-07-2021,chennai to kadappa,EIR,115,10.3
20-07-2021,chennai to chennai vsb,EIR,114,1.9
20-07-2021,chennai to hyderabad,EIR,100,0.4
20-07-2021,hyderabad to kadappa 1,GCIR,107,2.6
20-07-2021,kadappa to mumbai,GCIR,83,6.6
20-07-2021,hyderabad to mumbai 2 1,GCIR,80,2.6
20-07-2021,hyderabad to kadappa 2,NKCIR,11,0.6
20-07-2021,kadappa to pune,NKCIR,16,1.9
20-07-2021,delhi to noida,NNCIR,8.1,1.3
20-07-2021,gurgaon to delhi,NNCIR,7.3,0.4
20-07-2021,gurgaon to noida,NNCIR,7.3,0.8
20-07-2021,hyderabad to delhi,NNIR,2.5,0.6
20-07-2021,mumbai to delhi,NNIR,11.2,1.3
20-07-2021,delhi to delhi vsb,NNIR,9.1,0.8
20-07-2021,mumbai to pune,NWIR,39,4.2
20-07-2021,hyderabad to pune,NWIR,36,1.5
20-07-2021,hyderabad to mumbai 2,NWIR,36.5,1.5
20-07-2021,ahmadabad to mumbai,NR,2.1,2
20-07-2021,mumbai - mumbai vsb ,NR,180,7.1
20-07-2021,hyderabad to kolu,NR,1.5,0.7
20-07-2021,ernakullam to kadappa,NR,9.7,2.6
27-07-2021,chennai to kadappa,EIR,116,10.9
27-07-2021,chennai to chennai vsb,EIR,113,1.1
27-07-2021,chennai to hyderabad,EIR,99.8,0.6
27-07-2021,hyderabad to kadappa 1,GCIR,107,4.1
27-07-2021,kadappa to mumbai,GCIR,83,9.6
27-07-2021,hyderabad to mumbai 2 1,GCIR,80,4.2
27-07-2021,hyderabad to kadappa 2,NKCIR,11.9,0.7
27-07-2021,kadappa to pune,NKCIR,16.7,1.2
27-07-2021,delhi to noida,NNCIR,8,1.1
27-07-2021,gurgaon to delhi,NNCIR,7.4,0.4
27-07-2021,gurgaon to noida,NNCIR,7.2,0.7
27-07-2021,hyderabad to delhi,NNIR,2.5,0.8
27-07-2021,mumbai to delhi,NNIR,11.8,1.5
27-07-2021,delhi to delhi vsb,NNIR,9.1,1
27-07-2021,mumbai to pune,NWIR,44,3.8
27-07-2021,hyderabad to pune,NWIR,43,2
27-07-2021,hyderabad to mumbai 2,NWIR,41,0.5
27-07-2021,ahmadabad to mumbai,NR,2.5,0.5
27-07-2021,mumbai - mumbai vsb ,NR,185,6.7
27-07-2021,hyderabad to kolu,NR,1.5,0.22
27-07-2021,ernakullam to kadappa,NR,9.7,3.6
03-08-2021,chennai to kadappa,EIR,117,11
03-08-2021,chennai to chennai vsb,EIR,114,1.3
03-08-2021,chennai to hyderabad,EIR,100,0.6
03-08-2021,hyderabad to kadappa 1,GCIR,108,1.7
03-08-2021,kadappa to mumbai,GCIR,84,6.4
03-08-2021,hyderabad to mumbai 2 1,GCIR,81,1
03-08-2021,hyderabad to kadappa 2,NKCIR,12,0.7
03-08-2021,kadappa to pune,NKCIR,16.7,1.1
03-08-2021,delhi to noida,NNCIR,8.1,1.1
03-08-2021,gurgaon to delhi,NNCIR,7.4,0.2
03-08-2021,gurgaon to noida,NNCIR,7.2,0.7
03-08-2021,hyderabad to delhi,NNIR,1.6,0.6
03-08-2021,mumbai to delhi,NNIR,11.4,1.2
03-08-2021,delhi to delhi vsb,NNIR,8.1,0.8
03-08-2021,mumbai to pune,NWIR,45,4
03-08-2021,hyderabad to pune,NWIR,44,1.5
03-08-2021,hyderabad to mumbai 2,NWIR,41.5,0.7
03-08-2021,ahmadabad to mumbai,NR,2.1,0.8
03-08-2021,mumbai - mumbai vsb ,NR,190,4.7
03-08-2021,hyderabad to kolu,NR,1.5,0.08
03-08-2021,ernakullam to kadappa,NR,9.7,3.9
10-08-2021,chennai to kadappa,EIR,119,9.7
10-08-2021,chennai to chennai vsb,EIR,117,1.6
10-08-2021,chennai to hyderabad,EIR,101,0.5
10-08-2021,hyderabad to kadappa 1,GCIR,112,1.8
10-08-2021,kadappa to mumbai,GCIR,88,6.3
10-08-2021,hyderabad to mumbai 2 1,GCIR,86,2.2
10-08-2021,hyderabad to kadappa 2,NKCIR,12,0.8
10-08-2021,kadappa to pune,NKCIR,15.7,1.9
10-08-2021,delhi to noida,NNCIR,8.1,1.1
10-08-2021,gurgaon to delhi,NNCIR,7.4,0.3
10-08-2021,gurgaon to noida,NNCIR,7.2,1
10-08-2021,hyderabad to delhi,NNIR,1.6,1.4
10-08-2021,mumbai to delhi,NNIR,11.4,2.1
10-08-2021,delhi to delhi vsb,NNIR,8.1,1.6
10-08-2021,mumbai to pune,NWIR,46,4.4
10-08-2021,hyderabad to pune,NWIR,45.2,2.4
10-08-2021,hyderabad to mumbai 2,NWIR,42,2.6
10-08-2021,ahmadabad to mumbai,NR,2.1,0.8
10-08-2021,mumbai - mumbai vsb ,NR,194,6.3
10-08-2021,hyderabad to kolu,NR,1.5,0.03
10-08-2021,ernakullam to kadappa,NR,9.7,3.9
17-08-2021,chennai to kadappa,EIR,118.5,11.7
17-08-2021,chennai to chennai vsb,EIR,114.6,4.1
17-08-2021,chennai to hyderabad,EIR,98.6,3.7
17-08-2021,hyderabad to kadappa 1,GCIR,111,3.6
17-08-2021,kadappa to mumbai,GCIR,86.8,6.4
17-08-2021,hyderabad to mumbai 2 1,GCIR,83.8,2.5
17-08-2021,hyderabad to kadappa 2,NKCIR,12,1.2
17-08-2021,kadappa to pune,NKCIR,15.7,1.9
17-08-2021,delhi to noida,NNCIR,8.5,1.1
17-08-2021,gurgaon to delhi,NNCIR,7.4,0.2
17-08-2021,gurgaon to noida,NNCIR,7.2,0.9
17-08-2021,hyderabad to delhi,NNIR,1.6,1.4
17-08-2021,mumbai to delhi,NNIR,12.8,2
17-08-2021,delhi to delhi vsb,NNIR,9.2,1.6
17-08-2021,mumbai to pune,NWIR,46.5,5.1
17-08-2021,hyderabad to pune,NWIR,45.7,2.6
17-08-2021,hyderabad to mumbai 2,NWIR,43.4,1.5
17-08-2021,ahmadabad to mumbai,NR,2.1,2.7
17-08-2021,mumbai - mumbai vsb ,NR,194,5.5
17-08-2021,hyderabad to kolu,NR,1.5,0.08
17-08-2021,ernakullam to kadappa,NR,9.7,5.9
24-08-2021,chennai to kadappa,EIR,120.9,11.7
24-08-2021,chennai to chennai vsb,EIR,116.7,4.1
24-08-2021,chennai to hyderabad,EIR,100.7,3.7
24-08-2021,hyderabad to kadappa 1,GCIR,113,3.6
24-08-2021,kadappa to mumbai,GCIR,84.6,6.4
24-08-2021,hyderabad to mumbai 2 1,GCIR,83.1,2.5
24-08-2021,hyderabad to kadappa 2,NKCIR,12,1.2
24-08-2021,kadappa to pune,NKCIR,15.7,1.9
24-08-2021,delhi to noida,NNCIR,8.5,1.1
24-08-2021,gurgaon to delhi,NNCIR,7.3,0.2
24-08-2021,gurgaon to noida,NNCIR,7.2,0.9
24-08-2021,hyderabad to delhi,NNIR,1.6,1.4
24-08-2021,mumbai to delhi,NNIR,12.8,2
24-08-2021,delhi to delhi vsb,NNIR,9.1,1.6
24-08-2021,mumbai to pune,NWIR,46.6,5.1
24-08-2021,hyderabad to pune,NWIR,45.6,2.6
24-08-2021,hyderabad to mumbai 2,NWIR,43.4,1.5
24-08-2021,ahmadabad to mumbai,NR,2.1,2.7
24-08-2021,mumbai - mumbai vsb ,NR,184,5.5
24-08-2021,hyderabad to kolu,NR,1.4,0.08
24-08-2021,ernakullam to kadappa,NR,9.7,5.9
31-08-2021,chennai to kadappa,EIR,120.9,10.9
31-08-2021,chennai to chennai vsb,EIR,116.7,1.4
31-08-2021,chennai to hyderabad,EIR,100.7,0.3
31-08-2021,hyderabad to kadappa 1,GCIR,113,3
31-08-2021,kadappa to mumbai,GCIR,84.6,9.9
31-08-2021,hyderabad to mumbai 2 1,GCIR,83.1,3.1
31-08-2021,hyderabad to kadappa 2,NKCIR,12,0.8
31-08-2021,kadappa to pune,NKCIR,15.7,1.9
31-08-2021,delhi to noida,NNCIR,8.5,1.2
31-08-2021,gurgaon to delhi,NNCIR,7.3,0.8
31-08-2021,gurgaon to noida,NNCIR,7.2,0.8
31-08-2021,hyderabad to delhi,NNIR,1.6,1.4
31-08-2021,mumbai to delhi,NNIR,12.8,2.1
31-08-2021,delhi to delhi vsb,NNIR,9.1,2.2
31-08-2021,mumbai to pune,NWIR,46.6,5.8
31-08-2021,hyderabad to pune,NWIR,45.6,3.2
31-08-2021,hyderabad to mumbai 2,NWIR,43.4,3.4
31-08-2021,ahmadabad to mumbai,NR,2.1,0.8
31-08-2021,mumbai - mumbai vsb ,NR,184,7.9
31-08-2021,hyderabad to kolu,NR,1.4,0.2
31-08-2021,ernakullam to kadappa,NR,9.7,4.1
07-09-2021,chennai to kadappa,EIR,120.4,11
07-09-2021,chennai to chennai vsb,EIR,112.6,1.3
07-09-2021,chennai to hyderabad,EIR,99.1,0.6
07-09-2021,hyderabad to kadappa 1,GCIR,112.5,1.3
07-09-2021,kadappa to mumbai,GCIR,84.7,6.9
07-09-2021,hyderabad to mumbai 2 1,GCIR,82.1,0.8
07-09-2021,hyderabad to kadappa 2,NKCIR,11,0.8
07-09-2021,kadappa to pune,NKCIR,15.7,2.5
07-09-2021,delhi to noida,NNCIR,8.2,1.5
07-09-2021,gurgaon to delhi,NNCIR,7.5,0.3
07-09-2021,gurgaon to noida,NNCIR,7.2,0.5
07-09-2021,hyderabad to delhi,NNIR,1.6,1.5
07-09-2021,mumbai to delhi,NNIR,14.5,4.1
07-09-2021,delhi to delhi vsb,NNIR,11.3,1.7
07-09-2021,mumbai to pune,NWIR,45.9,6
07-09-2021,hyderabad to pune,NWIR,44.4,3.4
07-09-2021,hyderabad to mumbai 2,NWIR,44.9,3.9
07-09-2021,ahmadabad to mumbai,NR,2.1,0.9
07-09-2021,mumbai - mumbai vsb ,NR,184,7.2
07-09-2021,hyderabad to kolu,NR,1.4,0.06
07-09-2021,ernakullam to kadappa,NR,9.7,4.1
14-09-2021,chennai to kadappa,EIR,123.6,13.5
14-09-2021,chennai to chennai vsb,EIR,121.3,3.3
14-09-2021,chennai to hyderabad,EIR,104.9,0.7
14-09-2021,hyderabad to kadappa 1,GCIR,116.7,2.2
14-09-2021,kadappa to mumbai,GCIR,92.8,6.4
14-09-2021,hyderabad to mumbai 2 1,GCIR,80.1,2
14-09-2021,hyderabad to kadappa 2,NKCIR,12,0.8
14-09-2021,kadappa to pune,NKCIR,16.7,3.2
14-09-2021,delhi to noida,NNCIR,9.4,1.4
14-09-2021,gurgaon to delhi,NNCIR,8.5,0.6
14-09-2021,gurgaon to noida,NNCIR,8.2,0.9
14-09-2021,hyderabad to delhi,NNIR,1.9,1.4
14-09-2021,mumbai to delhi,NNIR,16.5,4
14-09-2021,delhi to delhi vsb,NNIR,13,1.9
14-09-2021,mumbai to pune,NWIR,48.5,6.2
14-09-2021,hyderabad to pune,NWIR,46.9,3.5
14-09-2021,hyderabad to mumbai 2,NWIR,46.4,3.2
14-09-2021,ahmadabad to mumbai,NR,2.1,1
14-09-2021,mumbai - mumbai vsb ,NR,210,6.6
14-09-2021,hyderabad to kolu,NR,1.6,0.07
14-09-2021,ernakullam to kadappa,NR,9.7,5.1
21-09-2021,chennai to kadappa,EIR,123.6,13.5
21-09-2021,chennai to chennai vsb,EIR,121.3,3.3
21-09-2021,chennai to hyderabad,EIR,104.9,0.7
21-09-2021,hyderabad to kadappa 1,GCIR,116.7,2.2
21-09-2021,kadappa to mumbai,GCIR,92.8,6.4
21-09-2021,hyderabad to mumbai 2 1,GCIR,80.1,2
21-09-2021,hyderabad to kadappa 2,NKCIR,12,0.8
21-09-2021,kadappa to pune,NKCIR,16.7,3.2
21-09-2021,delhi to noida,NNCIR,9.4,1.4
21-09-2021,gurgaon to delhi,NNCIR,8.5,0.6
21-09-2021,gurgaon to noida,NNCIR,8.2,0.9
21-09-2021,hyderabad to delhi,NNIR,1.9,1.4
21-09-2021,mumbai to delhi,NNIR,16.5,4
21-09-2021,delhi to delhi vsb,NNIR,13,1.9
21-09-2021,mumbai to pune,NWIR,48.5,6.2
21-09-2021,hyderabad to pune,NWIR,46.9,3.5
21-09-2021,hyderabad to mumbai 2,NWIR,46.4,3.2
21-09-2021,ahmadabad to mumbai,NR,2.1,1
21-09-2021,mumbai - mumbai vsb ,NR,210,6.6
21-09-2021,hyderabad to kolu,NR,1.6,0.07
21-09-2021,ernakullam to kadappa,NR,9.7,5.1
28-09-2021,chennai to kadappa,EIR,123.6,13.5
28-09-2021,chennai to chennai vsb,EIR,121.3,3.3
28-09-2021,chennai to hyderabad,EIR,104.9,0.7
28-09-2021,hyderabad to kadappa 1,GCIR,116.7,2.2
28-09-2021,kadappa to mumbai,GCIR,92.8,6.4
28-09-2021,hyderabad to mumbai 2 1,GCIR,80.1,2
28-09-2021,hyderabad to kadappa 2,NKCIR,12,0.8
28-09-2021,kadappa to pune,NKCIR,16.7,3.2
28-09-2021,delhi to noida,NNCIR,9.4,1.4
28-09-2021,gurgaon to delhi,NNCIR,8.5,0.6
28-09-2021,gurgaon to noida,NNCIR,8.2,0.9
28-09-2021,hyderabad to delhi,NNIR,1.9,1.4
28-09-2021,mumbai to delhi,NNIR,16.5,4
28-09-2021,delhi to delhi vsb,NNIR,13,1.9
28-09-2021,mumbai to pune,NWIR,48.5,6.2
28-09-2021,hyderabad to pune,NWIR,46.9,3.5
28-09-2021,hyderabad to mumbai 2,NWIR,46.4,3.2
28-09-2021,ahmadabad to mumbai,NR,2.1,1
28-09-2021,mumbai - mumbai vsb ,NR,210,6.6
28-09-2021,hyderabad to kolu,NR,1.6,0.07
28-09-2021,ernakullam to kadappa,NR,9.7,5.1
05-10-2021,chennai to kadappa,EIR,123.6,13.5
05-10-2021,chennai to chennai vsb,EIR,121.3,3.3
05-10-2021,chennai to hyderabad,EIR,104.9,0.7
05-10-2021,hyderabad to kadappa 1,GCIR,116.7,2.2
05-10-2021,kadappa to mumbai,GCIR,92.8,6.4
05-10-2021,hyderabad to mumbai 2 1,GCIR,80.1,2
05-10-2021,hyderabad to kadappa 2,NKCIR,12,0.8
05-10-2021,kadappa to pune,NKCIR,16.7,3.2
05-10-2021,delhi to noida,NNCIR,9.4,1.4
05-10-2021,gurgaon to delhi,NNCIR,8.5,0.6
05-10-2021,gurgaon to noida,NNCIR,8.2,0.9
05-10-2021,hyderabad to delhi,NNIR,1.9,1.4
05-10-2021,mumbai to delhi,NNIR,16.5,4
05-10-2021,delhi to delhi vsb,NNIR,13,1.9
05-10-2021,mumbai to pune,NWIR,48.5,6.2
05-10-2021,hyderabad to pune,NWIR,46.9,3.5
05-10-2021,hyderabad to mumbai 2,NWIR,46.4,3.2
05-10-2021,ahmadabad to mumbai,NR,2.1,1
05-10-2021,mumbai - mumbai vsb ,NR,210,6.6
05-10-2021,hyderabad to kolu,NR,1.6,0.07
05-10-2021,ernakullam to kadappa,NR,9.7,5.1
12-10-2021,chennai to kadappa,EIR,123.6,13.5
12-10-2021,chennai to chennai vsb,EIR,121.3,3.3
12-10-2021,chennai to hyderabad,EIR,104.9,0.7
12-10-2021,hyderabad to kadappa 1,GCIR,116.7,2.2
12-10-2021,kadappa to mumbai,GCIR,92.8,6.4
12-10-2021,hyderabad to mumbai 2 1,GCIR,80.1,2
12-10-2021,hyderabad to kadappa 2,NKCIR,12,0.8
12-10-2021,kadappa to pune,NKCIR,16.7,3.2
12-10-2021,delhi to noida,NNCIR,9.4,1.4
12-10-2021,gurgaon to delhi,NNCIR,8.5,0.6
12-10-2021,gurgaon to noida,NNCIR,8.2,0.9
12-10-2021,hyderabad to delhi,NNIR,1.9,1.4
12-10-2021,mumbai to delhi,NNIR,16.5,4
12-10-2021,delhi to delhi vsb,NNIR,13,1.9
12-10-2021,mumbai to pune,NWIR,48.5,6.2
12-10-2021,hyderabad to pune,NWIR,46.9,3.5
12-10-2021,hyderabad to mumbai 2,NWIR,46.4,3.2
12-10-2021,ahmadabad to mumbai,NR,2.1,1
12-10-2021,mumbai - mumbai vsb ,NR,210,6.6
12-10-2021,hyderabad to kolu,NR,1.6,0.07
12-10-2021,ernakullam to kadappa,NR,9.7,5.1
19-10-2021,chennai to kadappa,EIR,123.6,13.5
19-10-2021,chennai to chennai vsb,EIR,121.3,3.3
19-10-2021,chennai to hyderabad,EIR,104.9,0.7
19-10-2021,hyderabad to kadappa 1,GCIR,116.7,2.2
19-10-2021,kadappa to mumbai,GCIR,92.8,6.4
19-10-2021,hyderabad to mumbai 2 1,GCIR,80.1,2
19-10-2021,hyderabad to kadappa 2,NKCIR,12,0.8
19-10-2021,kadappa to pune,NKCIR,16.7,3.2
19-10-2021,delhi to noida,NNCIR,9.4,1.4
19-10-2021,gurgaon to delhi,NNCIR,8.5,0.6
19-10-2021,gurgaon to noida,NNCIR,8.2,0.9
19-10-2021,hyderabad to delhi,NNIR,1.9,1.4
19-10-2021,mumbai to delhi,NNIR,16.5,4
19-10-2021,delhi to delhi vsb,NNIR,13,1.9
19-10-2021,mumbai to pune,NWIR,48.5,6.2
19-10-2021,hyderabad to pune,NWIR,46.9,3.5
19-10-2021,hyderabad to mumbai 2,NWIR,46.4,3.2
19-10-2021,ahmadabad to mumbai,NR,2.1,1
19-10-2021,mumbai - mumbai vsb ,NR,210,6.6
19-10-2021,hyderabad to kolu,NR,1.6,0.07
19-10-2021,ernakullam to kadappa,NR,9.7,5.1
26-10-2021,chennai to kadappa,EIR,127.8,10.9
26-10-2021,chennai to chennai vsb,EIR,122.4,1.2
26-10-2021,chennai to hyderabad,EIR,106,0.9
26-10-2021,hyderabad to kadappa 1,GCIR,124,1.4
26-10-2021,kadappa to mumbai,GCIR,101,7.5
26-10-2021,hyderabad to mumbai 2 1,GCIR,90.7,0.6
26-10-2021,hyderabad to kadappa 2,NKCIR,11,0.8
26-10-2021,kadappa to pune,NKCIR,16.7,2.4
26-10-2021,delhi to noida,NNCIR,10.1,1.3
26-10-2021,gurgaon to delhi,NNCIR,9.5,0.4
26-10-2021,gurgaon to noida,NNCIR,9.2,0.6
26-10-2021,hyderabad to delhi,NNIR,1.9,1.4
26-10-2021,mumbai to delhi,NNIR,19.8,4
26-10-2021,delhi to delhi vsb,NNIR,18.8,1.8
26-10-2021,mumbai to pune,NWIR,51.3,6
26-10-2021,hyderabad to pune,NWIR,48.8,3.5
26-10-2021,hyderabad to mumbai 2,NWIR,48.3,2.3
26-10-2021,ahmadabad to mumbai,NR,2.1,0.8
26-10-2021,mumbai - mumbai vsb ,NR,225,5.6
26-10-2021,hyderabad to kolu,NR,1.6,0.03
26-10-2021,ernakullam to kadappa,NR,9.7,3.7
02-11-2021,chennai to kadappa,EIR,129.8,10.7
02-11-2021,chennai to chennai vsb,EIR,124.4,1.4
02-11-2021,chennai to hyderabad,EIR,108,0.6
02-11-2021,hyderabad to kadappa 1,GCIR,133.5,1.2
02-11-2021,kadappa to mumbai,GCIR,106.7,7.6
02-11-2021,hyderabad to mumbai 2 1,GCIR,95.9,0.6
02-11-2021,hyderabad to kadappa 2,NKCIR,11,0.8
02-11-2021,kadappa to pune,NKCIR,16.9,1.9
02-11-2021,delhi to noida,NNCIR,10.4,1.3
02-11-2021,gurgaon to delhi,NNCIR,9.5,0.4
02-11-2021,gurgaon to noida,NNCIR,9.2,0.6
02-11-2021,hyderabad to delhi,NNIR,1.9,1.4
02-11-2021,mumbai to delhi,NNIR,19.8,4
02-11-2021,delhi to delhi vsb,NNIR,18.8,1.8
02-11-2021,mumbai to pune,NWIR,51.2,5
02-11-2021,hyderabad to pune,NWIR,48.1,3.5
02-11-2021,hyderabad to mumbai 2,NWIR,49.1,2.3
02-11-2021,ahmadabad to mumbai,NR,2.1,0.8
02-11-2021,mumbai - mumbai vsb ,NR,230.3,5.6
02-11-2021,hyderabad to kolu,NR,1.6,0.03
02-11-2021,ernakullam to kadappa,NR,9.7,3.7
